ID,Time,Position (x,y,z)
0,1.476574,(4.6, 0.0, 6.7)
1,1.476574,(-5.7, 0.0, 6.7)
0,1.495987,(4.6, 0.0, 6.7)
1,1.495987,(-5.7, 0.0, 6.7)
0,1.517434,(4.6, 0.0, 6.7)
1,1.517434,(-5.7, 0.0, 6.7)
0,1.539472,(4.6, 0.0, 6.7)
1,1.539472,(-5.7, 0.0, 6.7)
0,1.559654,(4.6, 0.0, 6.7)
1,1.559654,(-5.7, 0.0, 6.7)
0,1.581189,(4.6, 0.0, 6.7)
1,1.581189,(-5.7, 0.0, 6.7)
0,1.603908,(4.5, 0.0, 6.7)
1,1.603908,(-5.7, 0.0, 6.7)
0,1.625284,(4.5, 0.0, 6.7)
1,1.625284,(-5.6, 0.0, 6.7)
0,1.645476,(4.5, 0.0, 6.7)
1,1.645476,(-5.6, 0.0, 6.7)
0,1.668103,(4.5, 0.0, 6.7)
1,1.668103,(-5.6, 0.0, 6.7)
0,1.69195,(4.5, 0.0, 6.7)
1,1.69195,(-5.6, 0.0, 6.7)
0,1.729911,(4.5, 0.0, 6.7)
1,1.729911,(-5.6, 0.0, 6.7)
0,1.752261,(4.5, 0.0, 6.7)
1,1.752261,(-5.6, 0.0, 6.7)
0,1.776177,(4.5, 0.0, 6.7)
1,1.776177,(-5.6, 0.0, 6.7)
0,1.79795,(4.5, 0.0, 6.7)
1,1.79795,(-5.6, 0.0, 6.7)
0,1.819987,(4.5, 0.0, 6.7)
1,1.819987,(-5.6, 0.0, 6.7)
0,1.843787,(4.4, 0.0, 6.7)
1,1.843787,(-5.6, 0.0, 6.7)
0,1.868124,(4.4, 0.0, 6.7)
1,1.868124,(-5.5, 0.0, 6.7)
0,1.890522,(4.4, 0.0, 6.7)
1,1.890522,(-5.5, 0.0, 6.7)
0,1.912949,(4.4, 0.0, 6.7)
1,1.912949,(-5.5, 0.0, 6.7)
0,1.934114,(4.4, 0.0, 6.7)
1,1.934114,(-5.5, 0.0, 6.7)
0,1.955201,(4.4, 0.0, 6.7)
1,1.955201,(-5.5, 0.0, 6.7)
0,1.97623,(4.4, 0.0, 6.7)
1,1.97623,(-5.5, 0.0, 6.7)
0,1.997454,(4.4, 0.0, 6.7)
